Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Giovanni Terenzi,Cesanese Del Piglio Superiore Colle Forma,3.6,10-14,1.52,43,sv,4,5,4,3,sv,sv,2,sv,sv,sv
Giovanni Terenzi,Cesanese Del Piglio Velobra,2.4,5-9,0.29,14,sv,3,sv,3,2,2,2,sv,sv,sv,sv
L'Avventura,Cesanese Del Piglio Superiore Picchiatello,3.0,15-19,0.38,08,sv,3,3,3,3,sv,sv,sv,sv,sv,sv
L'Avventura,Cesanese Del Piglio Superiore Amor,3.3,25-29,0.47,06,sv,3,4,3,sv,sv,sv,sv,sv,sv,sv
L'Avventura,Cesanese Del Piglio Superiore Arringo,3.0,25-29,0.19,02,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv
L'Avventura,Cesanese Del Piglio Campanino,3.0,15-19,0.19,04,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv
L'Avventura,Cesanese Del Piglio Riserva Camere Pinte,3.0,30-34,0.09,01,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Luca Sbardella,Cesanese Del Piglio Superiore ,3.0,15-19,0.19,04,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Pileum,Cesanese Del Piglio Superiore Riserva Bolla Di Urbano,3.5,25-29,0.75,09,sv,4,3,sv,4,sv,3,sv,sv,sv,sv
Pileum,Cesanese Del Piglio Superiore Massitum,2.3,10-14,0.16,05,sv,3,sv,sv,2,2,sv,sv,sv,sv,sv
Pileum,Cesanese Del Piglio Superiore I Cloni,3.0,15-19,0.09,02,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Pileum,Cesanese Del Piglio Superiore Riserva Pilarocca,4.0,25-29,0.93,12,sv,sv,sv,sv,5,3,sv,sv,sv,sv,sv
Pileum,Cesanese Del Piglio,2.0,5-9,0.03,02,sv,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Terre Antiche,Cesanese Del Piglio Eufonia,4.0,20-24,0.28,04,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv
Terre Antiche,Cesanese Del Piglio Rubino,2.0,15-19,0.03,01,2,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Villa Simone,Cesanese Del Piglio Villa Simone,2.0,10-14,0.06,02,sv,sv,sv,2,sv,2,sv,sv,sv,sv,sv
Migrante,Cesanese Di Olevano Romano Consilium,3.5,10-14,0.87,25,sv,sv,sv,5,sv,sv,2,sv,sv,sv,sv
Migrante,Cesanese Di Olevano Romano Sigillum,4.0,15-19,0.56,11,sv,sv,sv,sv,sv,sv,sv,sv,4,4,sv
Migrante,Cesanese Di Olevano Romano Dolce Olevano,3.0,15-19,0.09,02,sv,sv,sv,sv,sv,sv,sv,sv,sv,3,sv
Migrante,Cesanese Di Olevano Romano Terre Olibani,3.0,15-19,0.09,02,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Piero Riccardi,Cesanese Di Olevano Romano Neccio,3.3,25-29,0.56,07,sv,4,3,3,3,sv,sv,sv,sv,sv,sv
Piero Riccardi,Cesanese Di Olevano Romano Collepazzo,3.5,15-19,0.75,15,sv,4,3,4,3,sv,sv,sv,sv,sv,sv
Piero Riccardi,Cesanese Di Olevano Romano Calitro,4.0,25-29,0.56,07,sv,sv,sv,4,4,sv,sv,sv,sv,sv,sv
Piero Riccardi,Cesanese Di Olevano Romano Riserva Collepazzo,4.5,15-19,1.11,22,sv,sv,sv,sv,sv,4,sv,5,sv,sv,sv
Proietti,Cesanese Di Olevano Romano Superiore Tenuta Al Campo,3.7,10-14,1.68,48,sv,5,4,4,3,3,3,sv,sv,sv,sv
Proietti,Cesanese Di Olevano Romano Riserva Tenuta Al Campo,3.8,15-19,0.93,19,sv,sv,sv,sv,3,4,sv,sv,4,sv,4
Proietti,Cesanese Di Olevano Romano Tenuta Al Campo,2.8,5-9,0.44,21,sv,sv,sv,3,4,2,2,sv,sv,sv,sv
Sanvitis,Cesanese Di Olevano Romano Terre Di Comarca,3.0,25-29,0.09,01,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Sanvitis,Cesanese Di Olevano Romano,3.0,10-14,0.28,08,sv,sv,3,3,3,sv,sv,sv,sv,sv,sv
Marco Antonelli,Cesanese Di Olevano Romano Il Fresco,3.0,10-14,0.28,08,sv,3,3,sv,3,sv,sv,sv,sv,sv,sv
Marco Antonelli,Cesanese Di Olevano Romano Superiore Tyto,2.5,15-19,0.13,03,sv,sv,sv,2,sv,3,sv,sv,sv,sv,sv
Marco Antonelli,Cesanese Di Olevano Romano Superiore Riserva Kosmos,4.0,20-24,1.21,19,sv,sv,sv,3,4,5,sv,sv,sv,sv,sv
